epoch,batch,loss,classification_loss,bbox_regression_loss
0,0,1.7769311666488647,1.1791828870773315,0.5977482795715332
0,1,1.7186490297317505,1.2146533727645874,0.5039956569671631
0,2,1.8780266046524048,1.211380124092102,0.6666464805603027
0,3,1.631058692932129,1.157124638557434,0.4739340841770172
0,4,1.6479606628417969,1.16145658493042,0.48650407791137695
0,5,1.698646068572998,1.1574887037277222,0.5411573648452759
0,6,1.6208499670028687,1.1927969455718994,0.42805299162864685
0,7,2.0898990631103516,1.3015271425247192,0.7883720397949219
0,8,1.7635524272918701,1.1562830209732056,0.6072694063186646
0,9,1.6934192180633545,1.1847046613693237,0.5087145566940308
0,10,1.8165010213851929,1.2317280769348145,0.5847729444503784
0,11,1.7522505521774292,1.1877262592315674,0.5645242929458618
0,12,1.7933614253997803,1.189333438873291,0.6040279865264893
0,13,1.6837095022201538,1.1614896059036255,0.5222198963165283
0,14,1.8081542253494263,1.1603713035583496,0.6477829217910767
0,15,1.7018473148345947,1.1568551063537598,0.5449921488761902
0,16,1.8340036869049072,1.2028264999389648,0.6311772465705872
0,17,1.9674744606018066,1.170928716659546,0.796545684337616
0,18,1.6812834739685059,1.1687695980072021,0.5125138163566589
0,19,1.7564420700073242,1.1495449542999268,0.6068971157073975
0,20,1.872288465499878,1.1912355422973633,0.6810528635978699
0,21,1.7450441122055054,1.167180061340332,0.5778640508651733
0,22,1.6989294290542603,1.1669223308563232,0.532007098197937
0,23,1.797603726387024,1.1876814365386963,0.6099222898483276
0,24,1.9173908233642578,1.2005183696746826,0.7168724536895752
0,25,1.8806694746017456,1.204190969467163,0.6764785051345825
0,26,1.7509723901748657,1.1660337448120117,0.584938645362854
0,27,1.7569037675857544,1.1690778732299805,0.5878258943557739
0,28,1.773529052734375,1.1707888841629028,0.6027401685714722
0,29,1.7246094942092896,1.1795592308044434,0.5450502634048462
0,30,1.6659642457962036,1.1532399654388428,0.5127242803573608
0,31,1.8200421333312988,1.177004098892212,0.6430380344390869
0,32,1.7686326503753662,1.1720534563064575,0.5965791940689087
0,33,1.6098953485488892,1.1660468578338623,0.44384849071502686
0,34,1.6663908958435059,1.1488075256347656,0.5175833106040955
0,35,1.7954636812210083,1.2199863195419312,0.5754773616790771
0,36,1.543323040008545,1.1960058212280273,0.3473171889781952
0,37,1.5681545734405518,1.1506431102752686,0.4175114631652832
0,38,1.679842472076416,1.1543262004852295,0.5255162119865417
0,39,1.556542158126831,1.1643378734588623,0.39220428466796875
0,40,1.701173186302185,1.1668931245803833,0.5342800617218018
0,41,1.6219791173934937,1.1774168014526367,0.44456231594085693
0,42,1.5947943925857544,1.152841567993164,0.44195279479026794
0,43,1.7151635885238647,1.1999492645263672,0.5152143239974976
0,44,1.6924915313720703,1.169905185699463,0.5225863456726074
0,45,1.605933666229248,1.164565920829773,0.4413676857948303
0,46,1.8236452341079712,1.2126915454864502,0.610953688621521
0,47,1.6259572505950928,1.1947237253189087,0.4312334954738617
