Model,mAP@0.5,mAP@0.5:0.95,Precision,Recall,F1-Score,Inference_Time_ms,Model_Size_MB
AQUAYOLO,0.9704429414823114,0.5337253419086927,0.9605057527288219,0.9345578411510553,0.947354152739126,42227.79514789581,5.92311954498291
FRCNN,0.9667167081783752,0.6767016957248626,0.9460916442048517,0.9873417721518988,0.9662766689607709,299.2251360071263,158.14457321166992
RETINANET,0.8487702770370198,0.0,0.9162833486660533,0.70042194092827,0.7939418094858509,202.8811656552593,123.91046142578125
YOLOV8N,0.9654220017524219,0.5335005697303152,0.9532767942667867,0.9343310763989535,0.9437088572631328,40653.02300453186,5.93050479888916
