                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6305,                0.87482,                  1.104,                0.89761,                0.85434,                0.91728,                 0.4734,                 1.6562,                0.80934,                 1.1441,              0.0075698,              0.0075698,              0.0075698
                     36,                 1.6187,                0.87558,                 1.0986,                0.90603,                0.87331,                0.92852,                 0.4861,                 1.6115,                0.78997,                 1.1296,              0.0074347,              0.0074347,              0.0074347
                     37,                 1.6171,                0.86181,                  1.091,                0.90159,                0.88641,                0.92286,                 0.4828,                 1.6194,                0.77203,                 1.1346,              0.0072973,              0.0072973,              0.0072973
                     38,                 1.6063,                0.86342,                  1.091,                0.91005,                0.87513,                0.92202,                0.47257,                 1.6406,                0.78178,                 1.1334,              0.0071576,              0.0071576,              0.0071576
                     39,                 1.6121,                0.85047,                 1.0963,                0.91777,                0.88367,                0.93209,                0.49275,                 1.5986,                0.76892,                 1.1252,              0.0070159,              0.0070159,              0.0070159
                     40,                 1.6098,                0.85266,                 1.0999,                0.91006,                0.87641,                0.92769,                0.49049,                   1.61,                0.77171,                 1.1282,              0.0068722,              0.0068722,              0.0068722
                     41,                 1.6054,                0.84852,                 1.0906,                0.89352,                0.88418,                0.92459,                0.47974,                 1.6319,                0.77531,                  1.137,              0.0067268,              0.0067268,              0.0067268
                     42,                 1.5933,                 0.8423,                 1.0878,                0.91631,                0.87631,                0.92971,                0.49396,                 1.6098,                0.75761,                 1.1291,              0.0065796,              0.0065796,              0.0065796
                     43,                 1.5905,                0.82878,                 1.0877,                0.91144,                0.89689,                0.93486,                0.49936,                 1.5905,                0.74367,                 1.1222,               0.006431,               0.006431,               0.006431
                     44,                 1.5851,                 0.8297,                 1.0832,                0.92274,                0.87583,                0.92875,                0.48365,                 1.6126,                0.76033,                 1.1274,               0.006281,               0.006281,               0.006281
                     45,                 1.5784,                0.81884,                  1.088,                0.91181,                0.89289,                0.92831,                0.49646,                  1.588,                0.74736,                 1.1213,              0.0061298,              0.0061298,              0.0061298
                     46,                 1.5753,                0.82355,                 1.0862,                0.90786,                0.89127,                0.93257,                0.49291,                 1.6074,                0.74351,                 1.1231,              0.0059775,              0.0059775,              0.0059775
                     47,                 1.5794,                0.81025,                 1.0932,                0.91422,                0.89559,                 0.9376,                0.49844,                 1.5859,                0.73508,                  1.122,              0.0058244,              0.0058244,              0.0058244
                     48,                 1.5579,                0.80763,                 1.0809,                0.92029,                0.89853,                0.93423,                0.50635,                 1.5787,                 0.7311,                 1.1157,              0.0056704,              0.0056704,              0.0056704
                     49,                 1.5618,                 0.7999,                 1.0781,                0.92689,                  0.893,                0.93835,                0.50853,                 1.5594,                0.72625,                 1.1088,              0.0055158,              0.0055158,              0.0055158
                     50,                 1.5612,                0.79952,                 1.0773,                0.93211,                0.90125,                0.94423,                0.50768,                 1.5748,                0.71835,                 1.1146,              0.0053608,              0.0053608,              0.0053608
                     51,                 1.5408,                0.78531,                 1.0696,                0.91818,                 0.8932,                0.93705,                0.49834,                 1.5891,                0.72937,                 1.1213,              0.0052055,              0.0052055,              0.0052055
                     52,                 1.5456,                0.78323,                 1.0709,                0.92581,                0.90378,                0.94124,                0.51099,                 1.5531,                0.71936,                 1.1071,                0.00505,                0.00505,                0.00505
                     53,                 1.5599,                0.79201,                 1.0773,                0.91735,                0.89779,                0.93796,                0.49218,                 1.6035,                0.73437,                 1.1205,              0.0048945,              0.0048945,              0.0048945
                     54,                 1.5319,                0.77689,                 1.0719,                0.92844,                0.91025,                0.94517,                0.51277,                 1.5477,                0.70875,                 1.1043,              0.0047392,              0.0047392,              0.0047392
                     55,                 1.5354,                0.77322,                 1.0704,                0.92703,                0.90672,                0.94616,                0.51718,                 1.5472,                0.70838,                 1.1044,              0.0045842,              0.0045842,              0.0045842
                     56,                 1.5255,                0.77306,                 1.0655,                0.92864,                0.90737,                0.94037,                0.50329,                 1.5677,                0.71138,                 1.1108,              0.0044296,              0.0044296,              0.0044296
                     57,                 1.5234,                0.76097,                 1.0628,                0.93084,                0.90489,                0.94385,                0.51176,                 1.5546,                0.71117,                 1.1056,              0.0042756,              0.0042756,              0.0042756
                     58,                 1.5227,                0.76971,                  1.068,                0.92761,                0.90822,                0.94222,                0.50581,                 1.5648,                0.71317,                 1.1084,              0.0041225,              0.0041225,              0.0041225
                     59,                  1.527,                0.76556,                 1.0687,                0.92343,                0.90229,                0.93617,                0.50854,                 1.5603,                0.71046,                 1.1078,              0.0039702,              0.0039702,              0.0039702
                     60,                 1.5116,                 0.7515,                 1.0621,                0.93213,                 0.9081,                0.94332,                0.50858,                 1.5675,                0.70712,                 1.1081,               0.003819,               0.003819,               0.003819
