                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5821,                0.81909,                 1.0682,                0.81937,                0.77634,                0.79756,                0.34226,                 1.9746,                 1.1658,                 1.3358,              0.0075698,              0.0075698,              0.0075698
                     36,                 1.5677,                0.81938,                 1.0592,                0.81407,                0.79195,                 0.7842,                0.33415,                 1.9685,                 1.1389,                 1.3304,              0.0074347,              0.0074347,              0.0074347
                     37,                 1.5759,                0.81268,                 1.0625,                0.84122,                0.80539,                0.80543,                0.33753,                 1.9675,                 1.1408,                 1.3221,              0.0072973,              0.0072973,              0.0072973
                     38,                 1.5598,                0.80435,                  1.062,                0.82322,                0.80471,                 0.7991,                0.33028,                 1.9971,                 1.1376,                 1.3403,              0.0071576,              0.0071576,              0.0071576
                     39,                  1.556,                0.79837,                 1.0571,                0.82822,                0.78336,                0.78818,                0.32685,                 2.0065,                 1.1528,                 1.3561,              0.0070159,              0.0070159,              0.0070159
                     40,                 1.5468,                 0.7883,                 1.0547,                0.82317,                0.78583,                0.79132,                0.32607,                 2.0124,                 1.1178,                 1.3526,              0.0068722,              0.0068722,              0.0068722
                     41,                 1.5503,                0.78726,                  1.058,                0.84038,                0.78824,                0.80029,                0.33739,                   1.97,                  1.162,                 1.3377,              0.0067268,              0.0067268,              0.0067268
                     42,                 1.5466,                0.78268,                  1.053,                  0.815,                0.80002,                0.79095,                0.32981,                 1.9693,                 1.1278,                 1.3318,              0.0065796,              0.0065796,              0.0065796
                     43,                 1.5387,                0.77592,                 1.0518,                0.83845,                0.80016,                0.80938,                0.34186,                 1.9524,                 1.0914,                 1.3284,               0.006431,               0.006431,               0.006431
                     44,                 1.5368,                0.76476,                 1.0487,                0.82739,                0.81174,                0.81406,                0.33755,                 1.9844,                 1.1099,                 1.3479,               0.006281,               0.006281,               0.006281
                     45,                 1.5273,                0.76353,                  1.045,                0.84249,                0.80707,                0.80574,                0.33351,                 1.9717,                 1.1379,                 1.3378,              0.0061298,              0.0061298,              0.0061298
                     46,                 1.5294,                0.76608,                 1.0484,                0.82062,                0.82189,                0.81446,                0.33833,                 1.9771,                 1.1096,                 1.3415,              0.0059775,              0.0059775,              0.0059775
                     47,                 1.5253,                0.75247,                 1.0447,                0.84799,                 0.7891,                0.80808,                0.33685,                 1.9767,                 1.1496,                  1.339,              0.0058244,              0.0058244,              0.0058244
                     48,                 1.5173,                0.75704,                  1.047,                0.83841,                0.79659,                0.79193,                 0.3318,                 1.9754,                 1.1099,                 1.3359,              0.0056704,              0.0056704,              0.0056704
